[ 2023-07-25 17:37:32,187] 26 root -INFO-Data Ingestion is inititated
[ 2023-07-25 17:37:40,738] 34 root -INFO-Database and collection is selected
[ 2023-07-25 17:37:45,196] 38 root -INFO-Dataframe has been retrieved from MongoDB
[ 2023-07-25 17:37:45,537] 44 root -INFO-Files is saved in system
[ 2023-07-25 17:37:45,615] 55 root -INFO-Read train and test data completed
[ 2023-07-25 17:37:45,615] 27 root -INFO-Data Transformation Initiated
[ 2023-07-25 17:37:45,615] 31 root -INFO-Pipeline Initiated
[ 2023-07-25 17:37:45,615] 42 root -INFO-Pipeline Completed
[ 2023-07-25 17:37:45,708] 74 root -INFO-Processsor pickle in created and saved
[ 2023-07-25 17:37:45,709] 27 root -INFO-Splitting Dependent and Independent variables from train and test data
[ 2023-07-25 17:38:11,061] 47 root -INFO-Best Model Found , Model Name : SVM , Accuracy Score  : 0.8288100208768268
[ 2023-07-25 17:38:11,064] 54 root -INFO-best model is saved
